Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1aSfk5kGRoA_1Vwuk0YP-78fX2zdCPrg6hOMJE0GDYxQ/export?format=csv&gid=119752031

---

Brand,Country of origin,Region,Parent company / owner,Segment(s),Category,Status,Notes
Welotec,Germany,Europe,Independent,Industrial; Utility,Industrial / IoT,Active,DIN-rail routers and IIoT gateways
Westell Technologies,USA,North America,Exited CPE c.2018,Legacy DSL CPE,Legacy / acquired,Defunct,Major US DSL CPE supplier
Westermo,Sweden,Europe,Beijer Alma,Industrial; Rail; Utility/SCADA,Industrial / IoT,Active,Rugged rail and industrial Ethernet routers
Wingtech Technology,China,Asia-Pacific,Independent,ODM / EMS,ODM / white-label,Active,Chinese ODM giant; owns Ubee Interactive
Wistron NeWeb (WNC),Taiwan,Asia-Pacific,Wistron,ODM / ISP CPE,ODM / white-label,Active,CPE and cellular router ODM
Wlink Networks,China,Asia-Pacific,Independent,Cellular; Industrial,Industrial / IoT,Active,Industrial 4G/5G routers and gateways
Xfinity xFi Gateway,USA,North America,Comcast,ISP CPE,ISP CPE / broadband gateway,Brand-only,Comcast's branded cable gateway
Xiaomi (Mi Router),China,Asia-Pacific,Xiaomi Corporation,Consumer Wi-Fi; Mesh,Consumer / retail,Active,Very high volume in China; global sales via Mi ecosystem
Xiaomi AIoT Router,China,Asia-Pacific,Xiaomi,Consumer Wi-Fi,Consumer / retail,Active,Higher-end Xiaomi Wi-Fi 6/7 sub-line
Xirrus,USA,North America,Cambium Networks (2019),Legacy enterprise WLAN,Legacy / acquired,Brand retired,High-density Wi-Fi vendor
Yamaha (Network Division),Japan,Asia-Pacific,Yamaha Corporation,SMB; Enterprise branch,Enterprise / SD-WAN,Active,"RTX series branch routers, highly regarded in Japan"
Yeastar,China,Asia-Pacific,Independent,SMB; VoIP gateways,SMB / prosumer,Active,VoIP-centric SMB gateways and routers
YunCore,China,Asia-Pacific,Independent,WISP; Outdoor CPE,SMB / prosumer,Active (niche),Outdoor CPE maker common in OpenWrt hardware listings
Zain CPE,Kuwait,Middle East & Africa,Zain Group,ISP CPE,ISP CPE / broadband gateway,Brand-only,Gulf operator branded 5G CPE
Zebronics,India,Asia-Pacific,Independent,Consumer Wi-Fi,Consumer / retail,Active,Indian electronics brand with a router lineup
Zeetel / IOT Industrial,India,Asia-Pacific,Independent,Cellular; Industrial,Industrial / IoT,Active (niche),Indian rugged cellular router makers
ZenWiFi,Taiwan,Asia-Pacific,Asus,Mesh,Consumer / retail,Active,Sub-brand: Asus mesh Wi-Fi line
Zhone Technologies,USA,North America,DZS Inc.,Legacy SP access,Legacy / acquired,Brand retired,"Merged with DASAN 2016, renamed DZS 2020"
Zinwell Corporation,Taiwan,Asia-Pacific,Independent,ODM; STB/gateway,ODM / white-label,Active,Set-top and gateway ODM
Zoom Telephonics,USA,North America,Minim Inc.,Retail modem-router,Other,Active (niche),"Historic US modem brand, now part of Minim"
ZTE,China,Asia-Pacific,"Independent (state-linked, SZSE: 000063)",Consumer Wi-Fi; ISP CPE; 4G/5G CPE,ISP CPE / broadband gateway,Active,"Major MiFi, ONT and home-router/CPE vendor"
ZTE Corporation,China,Asia-Pacific,Independent (state-linked),SP edge; SP core; Enterprise; ISP CPE,ISP CPE / broadband gateway,Active,ZXR10 and ZXCTN router families
Zyxel,Taiwan,Asia-Pacific,Independent,Consumer Wi-Fi; DSL/Fiber CPE; SMB; 5G CPE,ISP CPE / broadband gateway,Active,Long-standing Taiwanese router/modem brand spanning retail and carrier

